Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
The Desert,Augustus E. John,Male,Oil,Boston,1,260,Requested by Organizers
The Orange Frock,Augustus E. John,Male,Oil,Boston,1,650,Requested by Organizers
Pines,Augustus E. John,Male,Oil,Boston,1,260,Requested by Organizers
The Coast of Clare,Augustus E. John,Male,Oil,Boston,1,585,Requested by Organizers
The Yellow Dress,Augustus E. John,Male,Oil,Boston,1,780,Requested by Organizers
The Red Shawl,Augustus E. John,Male,Oil,Boston,1,650,Requested by Organizers
"Lithographs; now determined to be The Volpini Suite;, 1889",Paul Gauguin,Male,Lithograph,Chicago & Boston,2,27,Requested by Organizers
Ophelia,Odilon Redon,Male,Oil,Chicago & Boston,2,1200,Requested by Organizers
12 Etchings,J. Alden Weir,Male,Etching,New York,1,500,Requested by Organizers
Feeding the Ducks,Elmer Livingston MacRae,Male,Oil,New York,1,550,Requested by Organizers
Street,Jonas Lie,Male,Oil,New York,1,500,Requested by Organizers
Boy and Goat; elsewhere Boy With Goat,Karl Anderson,Male,Oil,New York,1,500,Requested by Organizers
New York,Howard Coluzzi,Male,Oil,New York,1,300,Requested by Organizers
April,Edward Adam Kramer,Male,Pastel,New York,1,100,Requested by Organizers
Farm Yard,Adolph Kleiminger,Male,Oil,New York,1,400,Requested by Organizers
"The Rain, Connecticut Hills",Childe Hassam,Male,Pastel,New York,1,650,Requested by Organizers
The Birth,George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
"#The Mystery of Life, 1895–97",George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
3 Drawings,Boardman Robinson,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
2 Cartoons,Boardman Robinson,Male,Drawing,New York & Chicago,2,60,Requested by Organizers
Minetta Lane,Paul Burlin,Male,Drawing,New York,1,65,Requested by Organizers
Remains of equitable building,Paul Burlin,Male,Drawing,New York,1,85,Requested by Organizers
Washington Market District,Paul Burlin,Male,Drawing,New York,1,65,Requested by Organizers
Seven Drawings,Auguste Rodin,Male,Watercolor,New York & Chicago,2,1750,Requested by Organizers
Six Drawings,Bernard Karfiol,Male,Drawing,New York,1,20,Requested by Organizers
The Crinolines,Charles Condor,Male,Oil,"New York, Chicago & Boston",3,1000,Requested by Organizers
The Orchard,J. Alden Weir,Male,Oil,New York,1,2500,Requested by Organizers
When the Wind Blows,Van Dearing Perrine,Male,Oil,New York,1,750,Requested by Organizers
#Study in Rose and Brown,James A. McNeill Whistler,Male,Oil,New York,1,8500,Requested by Organizers
The Ice Floes,Van Dearing Perrine,Male,Oil,New York,1,2000,Requested by Organizers
Woman in Garden,Henri Toulouse-Lautrec,Male,Oil,New York,1,6600,Requested by Organizers
Rueil; now titled Village,MAurice de Vlaminck,Male,Oil,New York & Chicago,2,224,Requested by Organizers
"Drawings, Nos. 1-6",Marjorie Organ,Female,Drawing,New York,1,50,Requested by Organizers
Le Bassin aux nymphéas,Claude Monet,Male,Oil,New York,1,7700,Requested by Organizers
The Quarry,Jonas Lie,Male,Oil,New York & Chicago,2,800,Requested by Organizers
Toilet of Venus,Charles H. Shannon,Male,Oil,"New York, Chicago & Boston",3,3500,Requested by Organizers
Portrait; elsewhere titled Blue and Gold,Allen Tucker,Male,Oil,New York & Chicago,2,350,Requested by Organizers
"Upper Manhattan; now titled Harlem River, Winter, 1910",Ernest Lawson,Male,Oil,New York,1,800,Requested by Organizers
Landscape,Frank A. Nankivell,Male,Oil,New York,1,400,Requested by Organizers
Laughing Boy,Frank A. Nankivell,Male,Oil,New York,1,150,Requested by Organizers
"#Vine Wood, ca. 1910",Agnes Pelton,Female,Oil,New York,1,100,Requested by Organizers
The Beach Crowd,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
Six Drawings,Albert Humphreys,Male,Drawing,New York & Chicago,2,200,Requested by Organizers
Four drawings,George Bellows,Male,Drawing,New York,1,150,Requested by Organizers
Playing Beach on the Ball,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
THe Beach Umbrellas,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
The Life Gaurd,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
Stone Age,Agnes Pelton,Female,Oil,New York & Chicago,2,100,Requested by Organizers
Irene,Charles H. Pepper,Male,Oil,New York,1,1000,Requested by Organizers
Arizona Desert,Kate T. Cory,Female,Oil,New York & Chicago,2,150,Requested by Organizers
"#In the Opera; now titled At the Opera, 1908",Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
"Anticoli Corrado, 1907",Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
On the Avenue 1905,Abraham Walkowitz,Male,Oil,New York,1,250,Requested by Organizers
Man-Woman,Abraham Walkowitz,Male,Oil,New York,1,200,Requested by Organizers
A Bit of Venice,Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Watercolor,Abraham Walkowitz,Male,Watercolor,New York,1,100,Requested by Organizers
"Mountain, the Tyrol",John Marin,Male,Watercolor,New York,1,300,Requested by Organizers
In the Tyrol,John Marin,Male,Watercolor,New York,1,300,Requested by Organizers
"Lake and Mountain, Tyrol",John Marin,Male,Watercolor,New York,1,250,Requested by Organizers
Frame of Drawings,Arthut Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
"Hunger under a Bridge, 1912",Eugene Higgins,Male,Tempera,New York & Chicago,2,250,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
"Drawings, Nos. 1–5, 1912",Alexander Archipenko,Male,Oil,"New York, Chicago & Boston",3,27,Requested by Organizers
Paysage,Othon Friesz,Male,Oil,New York,1,324,Requested by Organizers
Route Vallon,Othon Friesz,Male,Oil,New York,1,324,Requested by Organizers
Landscape wit Figures,Othon Friesz,Male,Oil,New York,1,1620,Requested by Organizers
Coimbra,Othon Friesz,Male,Oil,New York,1,459,Requested by Organizers
Vegetation exotique,Othon Friesz,Male,Oil,New York,1,405,Requested by Organizers
Nausikaa,Wladimir von Bechtejeff,Male,Oil,New York,1,812.5,Requested by Organizers
Nature Morte 1,Patrick Henry Bruce,Male,Oil,New York,1,190,Requested by Organizers
Nature Morte2,Patrick Henry Bruce,Male,Oil,New York,1,135,Requested by Organizers
Nature Morte 3,Patrick Henry Bruce,Male,Oil,New York,1,135,Requested by Organizers
Nature Morte 4,Patrick Henry Bruce,Male,Oil,New York,1,135,Requested by Organizers
Coin du Village,Jules Flandrin,Male,Oil,New York,1,540,Requested by Organizers
"St. Marc, Venise",Jules Flandrin,Male,Oil,New York,1,640,Requested by Organizers
Venise,Jules Flandrin,Male,Oil,New York,1,1080,Requested by Organizers
Vallee Isere,Jules Flandrin,Male,Oil,New York,1,540,Requested by Organizers
Weary,Eugene Higgins,Male,Oil,New York,1,200,Requested by Organizers
#Faa iheihe 1898,Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,8100,Requested by Organizers
"Sous les palmiers; now titled Under the Palm Trees, 1891",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,4050,Requested by Organizers
"#L’Ésprit du mal; now titled Parau na te Varua ino (Words of the Devil), 1892",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,4050,Requested by Organizers
"Fleurs sur un fond jaune; now titled Still Life with Head-Shaped Vase and Japanese Woodcut, 1889",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,4050,Requested by Organizers
#Study of a Girl,Morton Schamberg,Male,Oil,New York & Chicago,2,100,Requested by Organizers
"Nature morte, 1888",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,5400,Requested by Organizers
"Atelier; now titled L’atelier de Schuffenecker (Schuffenecker’s Studio), 1889",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3,9450,Requested by Organizers
Deux Amies,Alexandre Blanchett,Male,Oil,New York,1,540,Requested by Organizers
"Three Figures, 1911",Phelan Gibb,Male,Oil,New York,1,337.5,Requested by Organizers
"Landscape, 1911",Phelan Gibb,Male,Oil,New York,1,675,Requested by Organizers
"Jeune Fille à la cruche, 1912",Joseph Bernard,Male,Plaster,"New York, Chicago & Boston",3,4860,Requested by Organizers
"La Tendresse, 1910",Joseph Bernard,Male,Plaster,New York & Chicago,2,2160,Requested by Organizers
Study of a Girl,Morton Schamberg,Male,Oil,New York & Chicago,2,100,Requested by Organizers
L’Estuaire de la Seine,Maurice de Vlaminck,Male,Oil,"New York, Chicago & Boston",3,202.5,Requested by Organizers
Les Figues,MAurice de Vlaminck,Male,Oil,"New York, Chicago & Boston",3,162,Requested by Organizers
Musikanten,Wilhelm Gimmi,Male,Oil,New York,1,136.5,Requested by Organizers
Conversation Provencale; Elsewhere La Sieste,Pierre Bonnard,Male,Oil,New York,1,2700,Requested by Organizers
Nordischer Fischerhafen,Julius Seyler,Male,Oil,New York,1,325,Requested by Organizers
"La Femme aux phlox; now titled Woman with Phlox, 1910",Albert Gleizes,Male,Oil,"New York, Chicago & Boston",3,189,Requested by Organizers
"#L’Homme au balcon; now titled Man on a Balcony (Portrait of Dr. Theo Morinaud), 1912",Albert Gleizes,Male,Oil,New York & Chicago,2,540,Requested by Organizers
Maskenfest,Hanz Bolz,Male,Engraving,New York,1,13.5,Requested by Organizers
Bar,Hanz Bolz,Male,Engraving,New York,1,16.2,Requested by Organizers
Ostende,Hanz Bolz,Male,Engraving,New York,1,13.5,Requested by Organizers
Morning,Adolph Kleiminger,Male,Oil,New York & Chicago,2,400,Requested by Organizers
N.E.A.,Morton Schamberg,Male,Oil,New York,1,100,Requested by Organizers
Eglise St. Nicolas,Hanz Bolz,Male,Engraving,New York,1,10.8,Requested by Organizers
Fleurs,Pierre Girieud,Male,Oil,New York,1,162,Requested by Organizers
Fleurs,Pierre Girieud,Male,Oil,New York,1,162,Requested by Organizers
Vitraux,Pierre Girieud,Male,Oil,"New York, Chicago & Boston",3,81,Requested by Organizers
Vitraux,Pierre Girieud,Male,Oil,"New York, Chicago & Boston",3,81,Requested by Organizers
"Hommage à Gauguin, 1906",Pierre Girieud,Male,Gouache,"New York, Chicago & Boston",3,189,Requested by Organizers
"Hommage à Gauguin, 1906",Pierre Girieud,Male,Gouache,"New York, Chicago & Boston",3,189,Requested by Organizers
Odalisques au miroir,Jaqueline Marval,Female,Oil,New York,1,675,Requested by Organizers
Le Violon,Georges Braque,Male,Oil,New York,1,202.5,Requested by Organizers
Anvers,Georges Braque,Male,Oil,New York,1,202.5,Requested by Organizers
La Foret,Georges Braque,Male,Oil,New York,1,216,Requested by Organizers
Wirtsgarten in Steglitz 1991,Ernst Ludwig Kirchner,Male,Oil,"New York, Chicago & Boston",3,162.5,Requested by Organizers
Portrait,Emile-Antoine Bourdelle,Male,Oil,New York,1,270,Requested by Organizers
Figure,Morton Schamberg,Male,Oil,New York,1,100,Requested by Organizers
#Observatoire de Meudon,Emile-Antoine Bourdelle,Male,Oil,New York,1,270,Requested by Organizers
Viole d’amour,Charles Guerin,Male,Oil,New York,1,1340,Requested by Organizers
Dame à la rose,Charles Guerin,Male,Oil,New York,1,3240,Requested by Organizers
Improvisation 27 (Garden of Love II) 1912,Wassily Kandinsky,Male,Oil,New York & Chicago,2,731,Submitted by Artist
Aquarelle,Henri Edmond Cross,Male,Watercolor,"New York, Chicago & Boston",3,121.5,Requested by Organizers
Landscape,Morton Schamberg,Male,Oil,New York,1,100,Requested by Organizers
"#Still Life, No. 1, 1912",Marsden Hartley,Male,Oil,New York,1,720,Requested by Organizers
"Still Life, No. 2",Marsden Hartley,Male,Oil,New York,1,300,Requested by Organizers
"Drawings, No. 1",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
"Drawings, No. 2",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
"Drawings, No. 3",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
"Drawings, No. 4",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
"Drawings, No. 5",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
"Drawings, No. 6",Marsden Hartley,Male,Drawing,New York,1,48,Requested by Organizers
Amandiers en fleurs,Henri Edmond Cross,Male,Oil,New York & Chicago,2,1215,Requested by Organizers
Still Life,Samuel Halpert,Male,Oil,New York,1,300,Requested by Organizers
La Clairiere,Henri Edmond Cross,Male,Oil,New York,1,4050,Requested by Organizers
Le Berger; now titled The Shepherd,Eugene [Eugeniusz] Zak,Male,Oil,New York & Chicago,2,450,Requested by Organizers
En Été,Eugene [Eugeniusz] Zak,Male,Oil,"New York, Chicago & Boston",3,340,Requested by Organizers
View of New York,Samuel Halpert,Male,Oil,New York,1,400,Requested by Organizers
"Dame mit grünem Schirm, 1912",Julius Hess,Male,Oil,New York,1,292.5,Requested by Organizers
Lithographs Nos. 1-4,Edvard Munch,Male,Lithograph,New York,1,200,Requested by Organizers
"Paysage, No. 1",Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2,216,Requested by Organizers
Scene du paturage; no titled Pasture,Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2,216,Requested by Organizers
"Paysage, No. III",Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2,216,Requested by Organizers
"Paysage, 1912",Andre Dunoyer de Segonzac,Male,Drawing,New York,1,54,Requested by Organizers
Wisdom and Destiny,Henry G Keller,Male,Oil,New York & Chicago,2,2500,Requested by Organizers
"Drawings, Nos. 1 to 5; elsewhere titled Nudes, 1912",Andre Dunoyer de Segonzac,Male,Drawing,New York & Chicago,2,162,Requested by Organizers
"Paysage , No. II, 1912",Andre Dunoyer de Segonzac,Male,Oil,New York,1,216,Requested by Organizers
"Une Bucolique, 1912",Andre Dunoyer de Segonzac,Male,Oil,"New York, Chicago & Boston",3,405,Requested by Organizers
Portrait,Morgan Russell,Male,Oil,New York,1,120,Requested by Organizers
"Capucines, 1912",Morgan Russell,Male,Oil,New York,1,60,Requested by Organizers
"Der Niessen, 1910",Ferdinand Hodler,Male,Oil,"New York, Chicago & Boston",3,812.5,Requested by Organizers
"Die heilige Stunde (Fragment), 1910",Ferdinand Hodler,Male,Oil,New York,1,4875,Requested by Organizers
The Valley,Henry G. Keller,Male,Oil,New York & Chicago,2,300,Requested by Organizers
"Paysage, 1912",Rodolph Levy,Male,Oil,New York,1,325,Requested by Organizers
Flowers,Walter Pach,Male,Oil,New York,1,87.5,Requested by Organizers
"#Portrait; now titled Portrait of Gigi Cavigli of Arezzo, 1912",Walter Pach,Male,Oil,New York,1,350,Requested by Organizers
Girls Bathing,Walter Pach,Male,Oil,New York,1,195,Requested by Organizers
"#Casentino Mountains, 1912",Walter Pach,Male,Oil,New York & Chicago,2,180,Requested by Organizers
The Wall of City,Walter Pach,Male,Oil,New York & Chicago,2,195,Requested by Organizers
Mary,Walter Pach,Male,Etching,New York & Chicago,2,10,Requested by Organizers
"Renoir's ""Liseuse"", now titled d'Apres Renoir, 1912",Walter Pach,Male,Etching,New York,1,10,Requested by Organizers
"Gothic Virgin, 1912",Walter Pach,Male,Etching,New York & Chicago,2,10,Requested by Organizers
"St. Germain-des-Pres--Nght; now titled St. Germain des Pres--Night, 1912",Walter Pach,Male,Etching,New York & Chicago,2,10,Requested by Organizers
Leslie,Albert Abendschein,Male,Oil,New York,1,550,Requested by Organizers
Le Bouquet aux feuilles rouges,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1620,Requested by Organizers
"Fleurs (fond rouge), ca. 1905",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
Pegase sur un roc,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2700,Requested by Organizers
Fecondite (etude),Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2700,Requested by Organizers
"Vase de fleurs avec geranium, No. 115, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1620,Requested by Organizers
"Papillons, No. 121, 1908",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,405,Requested by Organizers
"Roses sur fond vert, No. 116, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,810,Requested by Organizers
"Papillon, No. 38",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
Central Valley,Albert Abendschein,Male,Oil,New York,1,550,Requested by Organizers
"Profil noir sur fond or, No. 111; now titled Paul Gauguin, 1912; now dated 1903-5",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
"Fleurs, No. 75, 1911",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2700,Requested by Organizers
"Phaeton, No. 114; now called The Fall of Phaeton, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2160,Requested by Organizers
"Deux Tetes dans les fleurs, ca. 1905",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2160,Requested by Organizers
"Vieillard, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
"Muse sure Pegase, No. 110, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2160,Requested by Organizers
Barque,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2700,Requested by Organizers
Le Char d'Apollon,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,4050,Requested by Organizers
Fleurs dans un pot de gres,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,2160,Requested by Organizers
Initiation a letude,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,675,Requested by Organizers
California,Sidney Dale Shaw,Male,Oil,New York,1,500,Requested by Organizers
Warriors Fighting,"Julius Wentscher, d.j.",Male,Tempera,New York,1,270,Requested by Organizers
Fleurs dans un pot de gres,Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3,205,Requested by Organizers
"Profil mystique (Mystic Profile), 1885; now dated ca. 1892",Odilon Redon,Male,Drawing,"New York, Chicago & Boston",3,780,Requested by Organizers
"Songe d'Orient, 1885",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3,650,Requested by Organizers
"Corbeille de fleurs, 1910",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,195,Requested by Organizers
"Coquelicots, 1909",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,520,Requested by Organizers
"Barque, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,390,Requested by Organizers
"Vase de fleurs, bleu 1912",Odilon Redon,Male,Oil,New York,1,520,Requested by Organizers
"Vase de fleurs, gris, 1912",Odilon Redon,Male,Oil,New York,1,520,Requested by Organizers
"Prometheus, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,390,Requested by Organizers
"Tete en fleurs, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,300,Requested by Organizers
Going to the Bath,Kathleen McEnery,Female,Oil,New York,1,600,Requested by Organizers
Southwestern Country,Sidney Dale Shaw,Male,Oil,New York,1,350,Requested by Organizers
"#Le Silence; now titled Silence, ca. 1911",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,540,Requested by Organizers
Monstre et Angelique,Odilon Redon,Male,Oil,New York,1,455,Requested by Organizers
"Deux Etres sublunaires ailes dans lespace, 1909",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,585,Requested by Organizers
"Ohannes, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,520,Requested by Organizers
"Fleurs de champ dans un vase; now titled Lilas, géranium, capucines et folles avoines dans un pot noir",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3,1080,Requested by Organizers
"Roger and Angelica, 1912; now dated ca. 1910",Odilon Redon,Male,Pastel,New York,1,810,Requested by Organizers
"Tête d’Orphée; now titled Orpheus, ca. 1903–10",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3,405,Requested by Organizers
Topanza,Sidney Dale Shaw,Male,Oil,New York,1,350,Requested by Organizers
Le Bateau Rouge,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3,270,Requested by Organizers
"Vor der Stadt, 1912",F. M. Jansen,Male,Oil,New York,1,195,Requested by Organizers
"Ragusa, 1911",F. M. Jansen,Male,Pastel,New York,1,19.5,Requested by Organizers
Fresco,Howard Coluzzi,Male,Fresco,New York,1,500,Requested by Organizers
"Garda See Riva, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
"Fiume, 1911",F. M. Jansen,Male,Drawing,New York,1,19.5,Requested by Organizers
"Vor der Stadt, 1912",F. M. Jansen,Male,Watercolor,New York,1,19.5,Requested by Organizers
"Die Ernte, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
"Garda See, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
"Ein Park, 1910",F. M. Jansen,Male,Drawing,New York,1,19.5,Requested by Organizers
"Cypressen, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
"Triest, 1911",F. M. Jansen,Male,Drawing,New York,1,19.5,Requested by Organizers
"Das Dorf, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
"Trient, 1912",F. M. Jansen,Male,Etching,New York,1,19.5,Requested by Organizers
Winter Garden,Kenneth Frazier,Male,Oil,New York,1,500,Requested by Organizers
"Sarajewo, 1911",F. M. Jansen,Male,Drawing,New York,1,19.5,Requested by Organizers
"Affiche ""Le Divan Japonais""; now titled Le Divan Japonais, 1892-93",Henri Toulouse-Lautrec,Male,Lithograph,New York & Chicago,2,675,Requested by Organizers
"La Tresse, 1891",Henri Toulouse-Lautrec,Male,Oil,"New York, Chicago & Boston",3,3240,Requested by Organizers
"Dessin, No. 3200; now titled Study for “Action in Chains (Monument to Louis-Auguste Blanqui)”",Aristide Maillol,Male,Drawing,New York,1,55,Requested by Organizers
"Dessin, No. 1769",Aristide Maillol,Male,Drawing,New York,1,50,Requested by Organizers
"Dessin, No. 4114",Aristide Maillol,Male,Drawing,New York,1,165,Requested by Organizers
"Dessin, No. 4117",Aristide Maillol,Male,Drawing,New York,1,65,Requested by Organizers
"Dessin, No. 4120",Aristide Maillol,Male,Drawing,New York,1,38,Requested by Organizers
Shade Hat,Kenneth Frazier,Male,Oil,New York,1,500,Requested by Organizers
"Dessin, No. 4118",Aristide Maillol,Male,Drawing,New York,1,165,Requested by Organizers
"Vieh mit Hirten unter Baumen, 1911",Julius Paul Junghanns,Male,Oil,New York,1,260,Requested by Organizers
Les Abres; now titled Landscape 1907,Pablo Picasso,Male,Gouache,"New York, Chicago & Boston",3,243,Requested by Organizers
"Mme. Soler, 1903",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
"Tete d'homme, 1912",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3,486,Requested by Organizers
Study,Kenneth Frazier,Male,Oil,New York,1,500,Requested by Organizers
"La Femme au pot de moutarde; now titled Woman with Mustard Pot, 1910",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3,675,Requested by Organizers
A Stevedore,Jack B. Yeats,Male,Oil,New York,1,118,Requested by Organizers
The Barrel Man,Jack B. Yeats,Male,Oil,New York,1,118,Requested by Organizers
Strand Races,Jack B. Yeats,Male,Oil,New York,1,118,Requested by Organizers
The Last Corinthian,Jack B. Yeats,Male,Oil,New York,1,118,Requested by Organizers
The Circus Dwarf,Jack B. Yeats,Male,Oil,New York,1,590,Requested by Organizers
Alfred Kirstien 1863-1992,Ernst Ludwig Kirchner,Male,Watercolor,"New York, Chicago & Boston",3,81,Requested by Organizers
Sous la lampe; elsewhere titled Mother and Children,Nicolas Tarkhoff,Male,Oil,New York & Chicago,2,540,Requested by Organizers
"Etude, No. 2",Fernand Léger,Male,Oil,"New York, Chicago & Boston",3,216,Requested by Organizers
"Etude, No. 1",Fernand Léger,Male,Oil,"New York, Chicago & Boston",3,216,Requested by Organizers
