Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
La Route,Felix-Edouard Vallotton,Male,Oil,New York,1,594,Requested by Organizers
La Coiffure,Felix-Edouard Vallotton,Male,Oil,New York & Chicago,2,1620,Requested by Organizers
La Lecture,Felix-Edouard Vallotton,Male,Oil,New York & Chicago,2,1620,Requested by Organizers
Venise,Pierre Laprade,Male,Oil,New York,1,1080,Requested by Organizers
Roses Oranges,Pierre Laprade,Male,Oil,New York & Chicago,2,675,Requested by Organizers
San Giovanni,Pierre Laprade,Male,Watercolor,New York,1,202.5,Requested by Organizers
Le Triton,Pierre Laprade,Male,Watercolor,New York,1,189,Requested by Organizers
Rome,Pierre Laprade,Male,Watercolor,New York,1,216,Requested by Organizers
Villia Borghese,Pierre Laprade,Male,Watercolor,New York,1,189,Requested by Organizers
"S. Remy, Dieppe; now titled Church in Dieppe, 1912",Walter Sickert,Male,Oil,"New York, Chicago & Boston",3,1675,Requested by Organizers
"Land and Sea, 1912",Homer Boss,Male,Oil,New York,1,1500,Requested by Organizers
"Le Centenaire [de la Révolution]; now titled Centennial of Independence, 1892",Henri-Julian Rousseau,Male,Oil,"New York, Chicago & Boston",3,6750,Requested by Organizers
"Cheval attaqué par un jaguar, 1910",Henri-Julian Rousseau,Male,Oil,"New York, Chicago & Boston",3,1350,Requested by Organizers
Portrait,Marie Laurencin (1885-1956),Female,Watercolor,"New York, Chicago & Boston",3,81,Requested by Organizers
Desdemona,Marie Laurencin (1885-1956),Female,Watercolor,"New York, Chicago & Boston",3,81,Requested by Organizers
Jeune Fille avec eventail,Marie Laurencin (1885-1956),Female,Drawing,"New York, Chicago & Boston",3,81,Requested by Organizers
Jeune Fille,Marie Laurencin (1885-1956),Female,Drawing,"New York, Chicago & Boston",3,81,Requested by Organizers
La Toilette Des Jeunes filles,Marie Laurencin (1885-1956),Female,Oil,"New York, Chicago & Boston",3,540,Requested by Organizers
La Poetesse,Marie Laurencin (1885-1956),Female,Oil,"New York, Chicago & Boston",3,216,Requested by Organizers
Nature Morte,Marie Laurencin (1885-1956),Female,Oil,"New York, Chicago & Boston",3,108,Requested by Organizers
Portrait; elsewhere girl in blue and gold,Homer Boss,Male,Oil,New York,1,1500,Requested by Organizers
Two Drawings,Roger de La Fresnaye,Male,Drawing,New York & Chicago,2,27,Requested by Organizers
Two Drawings,Roger de La Fresnaye,Male,Drawing,New York & Chicago,2,27,Requested by Organizers
"Paysage, No 2",Roger de La Fresnaye,Male,Oil,"New York, Chicago & Boston",3,162,Requested by Organizers
"Paysage, No. 1",Roger de La Fresnaye,Male,Oil,New York & Chicago,2,162,Requested by Organizers
"Paysage, No 1",Roger de La Fresnaye,Male,Oil,"New York, Chicago & Boston",3,162,Requested by Organizers
"Marseilles, Calm Sea; now titled Port of Marseilles, 1901",Paul Signac,Male,Oil,"New York, Chicago & Boston",3,945,Requested by Organizers
"Drawings, Nos. 1-6, 1912",Wilhelm Lehmbruck,Male,Etching,New York,1,27,Requested by Organizers
The Little Tower; now titled A Small Tower,James Pryde,Male,Oil,New York & Chicago,2,390,Requested by Organizers
Dream,Kathleen McEnery,Female,Oil,New York,1,400,Requested by Organizers
Movement,Bernard Gussow,Male,Oil,New York,1,800,Requested by Organizers
"Weinberg-Arbeiter, 1909",Max Slevogt,Male,Oil,"New York, Chicago & Boston",3,1950,Requested by Organizers
Jeune Marin,Henri Matisse,Male,Oil,New York,1,1350,Requested by Organizers
Panneau rouge,Henri Matisse,Male,Oil,New York,1,4050,Requested by Organizers
Le Luxe II,Henri Matisse,Male,Tempera,New York,1,1350,Requested by Organizers
Les Capucines,Henri Matisse,Male,Oil,New York,1,1080,Requested by Organizers
Figures,Bernard Gussow,Male,Oil,New York & Chicago,2,300,Requested by Organizers
"Drawing, No. 839",Henri Matisse,Male,Drawing,New York,1,67.5,Requested by Organizers
"Drawing, No. 840",Henri Matisse,Male,Drawing,New York,1,67.5,Requested by Organizers
"#La Danse a la source; now titled Dances at the Spring, 1912",Francis Picabia,Male,Oil,New York & Chicago,2,675,Requested by Organizers
"La Procession, Seville, 1912",Francis Picabia,Male,Oil,"New York, Chicago & Boston",3,1080,Requested by Organizers
Paris,Francis Picabia,Male,Oil,"New York, Chicago & Boston",3,486,Requested by Organizers
"Souvenir de Grimaldi, Italie",Francis Picabia,Male,Oil,"New York, Chicago & Boston",3,405,Requested by Organizers
Inferno,Friedrich August Weinzheimer,Male,Drawing,New York,1,130,Requested by Organizers
Badende Frauen,Friedrich August Weinzheimer,Male,Drawing,"New York, Chicago & Boston",3,97.5,Requested by Organizers
Ciboure,Felix E. Tobeen,Male,Oil,"New York, Chicago & Boston",3,270,Requested by Organizers
L'Ecuyere,Felix E. Tobeen,Male,Oil,"New York, Chicago & Boston",3,270,Requested by Organizers
Les Pelotaris,Felix E. Tobeen,Male,Drawing,"New York, Chicago & Boston",3,135,Requested by Organizers
"#Collines à Arles, now titled Mountains at Saint-Rémy (Montagnes a Saint-Rémy), 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,16200,Requested by Organizers
"Bal à Arles; now titled La salle de danse à Arles, 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,9450,Requested by Organizers
"Le Zouave, 1888",Vincent Van Gogh,Male,Drawing,"New York, Chicago & Boston",3,1890,Requested by Organizers
"Montmartre, 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"L’Olivier; now titled Landscape with Figures, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,6500,Requested by Organizers
"Dans les bois; now titled Undergrowth with Two Figures, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,10400,Requested by Organizers
In the Woods,Charles H. Pepper,Male,Oil,New York,1,1000,Requested by Organizers
"Le Grand Olivier; now titled The Olive Plantation, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,5200,Requested by Organizers
"Nature morte. Souliers de bois, ca. 1887, now dated 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"Nature morte. Écrevisses, 1887",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"Moulin de Montmartre, 1886",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"Paysage d’Arles; now titled Olive Tree, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,5200,Requested by Organizers
"Des Pommes, ca. 1884",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"Cruches en étain, 1882",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3,2600,Requested by Organizers
"Compositions, Nos. 3109–3118",Georges Rouault,Male,Drawing,"New York, Chicago & Boston",3,810,Requested by Organizers
"La Parade, 1907",Georges Rouault,Male,Gouache,"New York, Chicago & Boston",3,540,Requested by Organizers
"Compositions, Nos. 3100–3108",Georges Rouault,Male,Drawing,"New York, Chicago & Boston",3,810,Requested by Organizers
#Le Rocher,Henri Manguin,Male,Oil,New York,1,864,Requested by Organizers
Baigneuse,Henri Manguin,Male,Oil,New York,1,702,Requested by Organizers
La Toilette,Henri Manguin,Male,Oil,New York,1,378,Requested by Organizers
"Arbres en fleurs; now titled Puteaux: Les Fumées et les arbres en fleur, 1912",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,270,Requested by Organizers
"Fillette au piano, 1912",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,270,Requested by Organizers
"Étude pour jeune femme; now titled Study for Young Woman, 1912",Jacques Villon,Male,Oil,New York & Chicago,2,135,Requested by Organizers
"Étude pour Puteaux, No. 1; now titled Sketch for Puteaux",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,81,Requested by Organizers
"Étude pour Puteaux, No 2",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,108,Requested by Organizers
"Nu, 1907",Georges Rouault,Male,Gouache,"New York, Chicago & Boston",3,540,Requested by Organizers
"Étude pour Puteaux, No. 3;",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,108,Requested by Organizers
"Étude pour Puteaux, No. 4,",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,108,Requested by Organizers
Étude pour fillette au piano,Jacques Villon,Male,Oil,"New York, Chicago & Boston",3,135,Requested by Organizers
#Jeune Femme; now titled Young Girl,Jacques Villon,Male,Oil,New York & Chicago,2,270,Requested by Organizers
Woodcuts Nos. 1-6,Olga Oppenheimer,Female,Wood,"New York, Chicago & Boston",3,16.25,Requested by Organizers
Honfleur,Georges Seurat,Male,Oil,"New York, Chicago & Boston",3,2020,Requested by Organizers
Wintersport,Max Mayrshofer,Male,Drawing,New York,1,25,Requested by Organizers
Badende Frauen,Max Mayrshofer,Male,Drawing,New York,1,22.75,Requested by Organizers
Landschaft,Max Mayrshofer,Male,Drawing,New York,1,22.75,Requested by Organizers
Landschaft,Max Mayrshofer,Male,Drawing,New York,1,26,Requested by Organizers
Volksmenge,Max Mayrshofer,Male,Drawing,New York,1,22.75,Requested by Organizers
Rennreiter,Max Mayrshofer,Male,Drawing,New York,1,26,Requested by Organizers
"#Chateau fort; now titled The Stronghold, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2,81,Requested by Organizers
"Le Prince et la meute, 1912",Amadeo de Sousa-Cardoza,Male,Oil,"New York, Chicago & Boston",3,324,Requested by Organizers
"Avant la corrida, 1912",Amadeo de Sousa-Cardoza,Male,Oil,"New York, Chicago & Boston",3,216,Requested by Organizers
"Return from the Chase, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2,54,Requested by Organizers
"Saut du lapin; now titled The Leap of the Rabbit, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2,67.5,Requested by Organizers
"Paysage, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2,81,Requested by Organizers
"Pecheur, 1912",Amadeo de Sousa-Cardoza,Male,Oil,"New York, Chicago & Boston",3,135,Requested by Organizers
The Clown,Edward Middleton Manigault,Male,Oil,New York,1,600,Requested by Organizers
Boats at Kew,Henry Muhrmann,Male,Oil,New York,1,300,Requested by Organizers
Les Jaurnaux,Édouard Vuillard,Male,Oil,"New York, Chicago & Boston",3,405,Requested by Organizers
Expectancy,Jules Pascin,Male,Engraving,New York,1,65,Requested by Organizers
Watercolor,Jules Pascin,Male,Watercolor,New York,1,65,Requested by Organizers
A Visit; now titled The Visit,Jules Pascin,Male,Drawing,"New York, Chicago & Boston",3,65,Requested by Organizers
No. 9 At the Antiquarians,Jules Pascin,Male,Drawing,"New York, Chicago & Boston",3,65,Requested by Organizers
No. 8 In the Salon,Jules Pascin,Male,Drawing,New York,1,65,Requested by Organizers
No. 7 The Music Lesson,Jules Pascin,Male,Drawing,"New York, Chicago & Boston",3,65,Requested by Organizers
No. 6 Interior,Jules Pascin,Male,Watercolor,"New York, Chicago & Boston",3,50,Requested by Organizers
"No. 5 Beggars, 1912",Jules Pascin,Male,Drawing,New York,1,65,Requested by Organizers
Adagio,Edward Middleton Manigault,Male,Oil,New York,1,750,Requested by Organizers
"No. 4 Siesta, 1912",Jules Pascin,Male,Drawing,New York,1,32.5,Requested by Organizers
"No. 3 In the Park, 1912",Jules Pascin,Male,Watercolor,New York,1,48.5,Requested by Organizers
"Three Girls, 1912",Jules Pascin,Male,Drawing,"New York, Chicago & Boston",3,65,Requested by Organizers
Liegendes Mädchen,Walter Helbig,Male,Oil,New York,1,260,Requested by Organizers
"No. 1 Venus, 1912",Jules Pascin,Male,Engraving,"New York, Chicago & Boston",3,48.75,Requested by Organizers
Hambourg,Albert Marquet,Male,Oil,New York,1,1620,Requested by Organizers
Ste. Adresse,Albert Marquet,Male,Oil,New York,1,1215,Requested by Organizers
Inondation,Albert Marquet,Male,Oil,New York,1,2700,Requested by Organizers
The Waste,Kenneth Hayes Miller,Male,Oil,New York,1,600,Requested by Organizers
Hambourg,Albert Marquet,Male,Oil,New York,1,2160,Requested by Organizers
La Falaise d’Étretat,Claude Monet,Male,Oil,New York,1,8200,Requested by Organizers
"Effet de neige, Giverny",Claude Monet,Male,Oil,New York,1,11000,Requested by Organizers
Autumn at Jeufosse,Claude Monet,Male,Oil,New York,1,8800,Requested by Organizers
"Neige, soliel couchant, 1894",Camille Pissarro,Male,Oil,New York,1,4400,Requested by Organizers
"Pontoise, 1872",Camille Pissarro,Male,Oil,New York,1,3850,Requested by Organizers
Winter,F. William Weber,Male,Oil,New York,1,300,Requested by Organizers
Woman and Children,Kenneth Hayes Miller,Male,Oil,New York,1,750,Requested by Organizers
"La Becheuse, 1882",Camille Pissarro,Male,Oil,New York,1,5500,Requested by Organizers
Paysannes ramassant des herbes,Camille Pissarro,Male,Oil,New York,1,1650,Requested by Organizers
"L’Ombrelle, 1878",Pierre-Auguste Renoir,Male,Oil,New York,1,13200,Requested by Organizers
"Dans le jardin, 1884",Pierre-Auguste Renoir,Male,Oil,New York,1,16500,Requested by Organizers
"Vieilles Chaumieres a Veneux, 1881",Alfred Sisley,Male,Oil,New York,1,3750,Requested by Organizers
"Chemin du vieux, Bac-a-By; now titled The Path to the Old Ferry at By, 1880",Alfred Sisley,Male,Oil,New York,1,3300,Requested by Organizers
"Prairie incondee, 1878",Alfred Sisley,Male,Oil,New York,1,4400,Requested by Organizers
Recumbent Figure,Kenneth Hayes Miller,Male,Oil,New York,1,400,Requested by Organizers
Primitive Group,Kenneth Hayes Miller,Male,Oil,New York,1,400,Requested by Organizers
"Grey Sea. Monhegan; titled Snow, Ice and Foam in Kuhn catalogue",Edward F. Rook,Male,Oil,New York,1,1500,Requested by Organizers
White-faced Chasm,Edward F. Rook,Male,Oil,New York,1,800,Requested by Organizers
Jeune Femme; now titled Standing Woman,Wilhelm Lehmbruck,Male,Plaster,New York,1,1620,Requested by Organizers
French Village,F. William Weber,Male,Oil,New York,1,350,Requested by Organizers
"Femme à genoux; now titled Woman Kneeling, 1911",Wilhelm Lehmbruck,Male,Stone,"New York, Chicago & Boston",3,2160,Requested by Organizers
Négresse,Alexander Archipenko,Male,Plaster,"New York, Chicago & Boston",3,216,Requested by Organizers
"#Le Repos; now titled Repose, 1912; now dated 1911",Alexander Archipenko,Male,Plaster,New York & Chicago,2,216,Requested by Organizers
"Salomé, 1910",Alexander Archipenko,Male,Plaster,New York & Chicago,2,540,Requested by Organizers
"Tete d' Apollo, Head of Apollo",Emile-Antoine Bourdelle,Male,Bronze,New York,1,540,Requested by Organizers
Une Muse,Emile-Antoine Bourdelle,Male,Bronze,New York,1,1080,Requested by Organizers
Une Muse,Emile-Antoine Bourdelle,Male,Stone,New York,1,1350,Requested by Organizers
Le Matin; elsewhere statue de femme,Emile-Antoine Bourdelle,Male,Bronze,New York,1,270,Requested by Organizers
Herakles Archer,Emile-Antoine Bourdelle,Male,Bronze,New York,1,540,Requested by Organizers
"New York 581, Gallery R; Chicago 147 and Boston 64",Paul Gauguin,Male,Wood,"New York, Chicago & Boston",3,945,Requested by Organizers
The Kiss,Constantin Brancusi,Male,Stone,New York,1,540,Requested by Organizers
Muse Endormie,Constantin Brancusi,Male,Stone,New York,1,1350,Requested by Organizers
The Muse,Constantin Brancusi,Male,Stone,New York,1,810,Requested by Organizers
Mlle Pogany,Constantin Brancusi,Male,Bronze,New York,1,540,Requested by Organizers
Femme nue accroupie; now titled Kneeling Woman,Manolo,Male,Bronze,New York,1,202.5,Requested by Organizers
Femme nue debout,Manolo,Male,Bronze,New York,1,67.5,Requested by Organizers
Chula,Manolo,Male,Bronze,New York,1,67.5,Requested by Organizers
Buste du peintre Sunyer,Manolo,Male,Bronze,New York,1,108,Requested by Organizers
Femme debout,Aristide Maillol,Male,Terracotta,New York,1,2160,Requested by Organizers
Bas-relief,Aristide Maillol,Male,Terracotta,New York,1,2700,Requested by Organizers
Tete de jeune Fille,Oscar Miestchaninoff,Male,Plaster,New York,1,540,Requested by Organizers
Faunesse,Gaston Toussaint,Male,Bronze,New York,1,405,Requested by Organizers
Landscape,James Preston,Male,Oil,New York,1,250,Requested by Organizers
Pelican,Nelson N. Bickford,Male,Bronze,New York,1,60,Submitted by Artist
Leopard,Nelson N. Bickford,Male,Bronze,New York,1,50,Submitted by Artist
Heracles,Arthut Lee,Male,Bronze,New York,1,1000,Requested by Organizers
"#Ethiopian, 1912",Arthut Lee,Male,Bronze,New York,1,500,Requested by Organizers
Virgin,Aruthur Lee,Male,Plaster,New York,1,750,Requested by Organizers
Aphrodite,Aruthur Lee,Male,Bronze,New York,1,500,Requested by Organizers
Chimpanzees,Grace Mott Johnson,Female,Bronze,New York & Chicago,2,250,Requested by Organizers
Chimpanzees,Grace Mott Johnson,Female,Bronze,New York & Chicago,2,200,Requested by Organizers
Landscape,James Preston,Male,Oil,New York,1,300,Requested by Organizers
"Greyhound Pup, No. 2",Grace Mott Johnson,Female,Bronze,New York,1,200,Requested by Organizers
Relief,Grace Mott Johnson,Female,Plaster,New York,1,150,Requested by Organizers
"Mermaid, 1911",Chester Beach,Male,Stone,New York,1,700,Requested by Organizers
"The Unveiling of Dawn; now titled Unveiling of Dawn, 1913",Chester Beach,Male,Stone,New York,1,1000,Requested by Organizers
"The Big Wave; now titled The Wave, ca. 1912",Chester Beach,Male,Bronze,New York & Chicago,2,500,Requested by Organizers
Portrait,James A. McNeill Whistler,Male,Oil,New York,1,8500,Requested by Organizers
The Matron,Ethel Myers,Female,Plaster,New York,1,85,Requested by Organizers
Fifth Avenue Gossipers,Ethel Myers,Female,Plaster,New York,1,160,Requested by Organizers
Girl from Madison Avenue,Ethel Myers,Female,Plaster,New York,1,60,Requested by Organizers
The Window,Ethel Myers,Female,Plaster,New York,1,70,Requested by Organizers
The Gambler,Ethel Myers,Female,Plaster,New York,1,60,Requested by Organizers
Upper Corridor,Ethel Myers,Female,Plaster,New York,1,60,Requested by Organizers
The Duchess,Ethel Myers,Female,Plaster,New York,1,60,Requested by Organizers
"Statuette, 1912",Gaston Lachaise,Male,Plaster,New York,1,1000,Requested by Organizers
"Statuette, 1912",Gaston Lachaise,Male,Plaster,New York,1,1000,Requested by Organizers
"Group, Coney Island",Abastenia St. Leger Eberle,Female,Sculpture,New York,1,500,Requested by Organizers
"# White Slave, 1913",Abastenia St. Leger Eberle,Female,Bronze,New York,1,500,Requested by Organizers
Girl with Print,May Wilson Preston,Female,Oil,New York & Chicago,2,1000,Requested by Organizers
"A Creature of God, 1910",Robert I. Aitken,Male,Stone,New York,1,1000,Requested by Organizers
The Dregs of Love,Robert I. Aitken,Male,Stone,New York,1,1000,Requested by Organizers
"Study; elsewhere “Tired Mercury”, 1910",Robert I. Aitken,Male,Plaster,New York,1,250,Requested by Organizers
"#Group of Children; now titled Three Girls (Group of Children), 1911",Charles Hopkinson,Male,Oil,New York,1,1000,Requested by Organizers
The Five Senses,Enid Yandell,Female,Bronze,New York,1,75,Requested by Organizers
Parasites,John Mowbray-Clarke,Male,Bronze,New York,1,2500,Requested by Organizers
Seared,John Mowbray-Clarke,Male,Bronze,New York,1,250,Requested by Organizers
Antiquities,John Mowbray-Clarke,Male,Bronze,New York,1,350,Requested by Organizers
The Tree,John Mowbray-Clarke,Male,Plaster,New York,1,400,Requested by Organizers
Tulips and Blue-Flags,Gus Mager,Male,Oil,New York,1,300,Requested by Organizers
Yachting,Charles Hopkinson,Male,Oil,New York,1,500,Requested by Organizers
Aphrodite,John Mowbray-Clarke,Male,Bronze,New York,1,75,Requested by Organizers
Christ,John Mowbray-Clarke,Male,Bronze,New York,1,400,Requested by Organizers
Spring,John Mowbray-Clarke,Male,Bronze,New York,1,100,Requested by Organizers
Nude Woman with Mirror,Childe Hassam,Male,Oil,New York,1,6000,Requested by Organizers
Study of an Old Lady,Margaret Hoard,Female,Plaster,New York,1,50,Requested by Organizers
"The Spanish Stairs, 1897",Childe Hassam,Male,Oil,New York,1,6000,Requested by Organizers
Bear Upright,Albert Humphreys,Male,Sculpture,New York,1,160,Requested by Organizers
Naples,Childe Hassam,Male,Oil,New York & Chicago,2,4500,Requested by Organizers
"#In the Orchard, 1872–1896",Theodore Robinson,Male,Oil,New York,1,500,Requested by Organizers
"Two in a Boat, 1891",Theodore Robinson,Male,Oil,New York,1,350,Requested by Organizers
"Hillside, Summer",Theodore Robinson,Male,Oil,New York,1,500,Requested by Organizers
Portrait Study,Hermine E. Kleinert,Female,Oil,New York,1,100,Submitted by Artist
The Sea,Childe Hassam,Male,Oil,New York,1,6000,Requested by Organizers
Talloires,Catherine N. Rhoades,Female,Oil,New York & Chicago,2,400,Submitted by Artist
Her Blue Skirt,William E. Schumacher,Male,Oil,New York,1,400,Submitted by Artist
"The Lady, Maid and Child",William E. Schumacher,Male,Oil,New York & Chicago,2,400,Submitted by Artist
"Vesuvius, 1897",Childe Hassam,Male,Oil,New York,1,4000,Requested by Organizers
Winter,Walter K. Pleuthner,Male,Oil,New York,1,200,Submitted by Artist
Sunset on the Cottenfields,Lily Everett,Female,Oil,New York,1,300,Submitted by Artist
Trees,Leon Wolf,Male,Oil,New York,1,150,Submitted by Artist
"Landscape over the City; now titled Jerome Avenue Bridge, 1910–11",Florence Howell Barkley,Female,Oil,New York,1,100,Submitted by Artist
Still Life,Paul Rohland,Male,Oil,New York & Chicago,2,175,Submitted by Artist
Waterfalls,Paul Rohland,Male,Oil,New York,1,200,Submitted by Artist
Still Life,Paul Rohland,Male,Oil,New York,1,200,Submitted by Artist
Landscape,Morgan Stinemetz,Male,Oil,New York,1,100,Submitted by Artist
Sailboat,Morgan Stinemetz,Male,Oil,New York,1,100,Submitted by Artist
Spirit of the Pool,Edmund Marion Ashe,Male,Oil,New York,1,300,Submitted by Artist
"Posilippo; now titled Bridge at Posilippo, Naples",Childe Hassam,Male,Oil,New York,1,3000,Requested by Organizers
Sunlight and Clouds,John H. Alger,Male,Oil,New York & Chicago,2,300,Submitted by Artist
"Sailing, 1912-13",Edward Hopper,Male,Oil,New York,1,250,Requested by Organizers
*The Fishers,Mrs. Thomas Hunt,Female,Oil,New York,1,200,Submitted by Artist
"Distant Rain, 1911",Carl Sprinchorn,Male,Oil,New York & Chicago,2,250,Submitted by Artist
"Stockholm, 1910",Carl Sprinchorn,Male,Pastel,New York & Chicago,2,50,Requested by Organizers
"The Balcony, 1910",Carl Sprinchorn,Male,Watercolor,New York,1,50,Requested by Organizers
Mordkin and Pavlova,Carl Sprinchorn,Male,Watercolor,New York & Chicago,2,50,Requested by Organizers
Cos Cob,Childe Hassam,Male,Oil,New York,1,3000,Requested by Organizers
The Valley of Unrest,Charles Henry White,Male,Etching,New York,1,25,Submitted by Artist
Fulton Market,Charles Henry White,Male,Etching,New York,1,25,Submitted by Artist
The Condemned Tenement,Charles Henry White,Male,Etching,New York,1,25,Submitted by Artist
*Freda,Charles R. Harley,Male,Drawing,New York,1,25,Submitted by Artist
*Hunters,Charlotte Meltzer,Female,Oil,New York,1,200,Submitted by Artist
*Loverene,Charlotte Meltzer,Female,Oil,New York,1,250,Submitted by Artist
Drawing,Glenn O. Coleman,Male,Drawing,New York,1,100,Submitted by Artist
Election Bonfire,Glenn O. Coleman,Male,Drawing,New York,1,100,Submitted by Artist
"Morro Castle, San Juan",Herman Dudley Murphy,Male,Oil,New York,1,500,Requested by Organizers
The Fleet,Glenn O. Coleman,Male,Oil,New York,1,400,Submitted by Artist
Madame F.,Alexander L. Warshawsky,Male,Oil,New York,1,500,Submitted by Artist
Nature Morte,Alexander L. Warshawsky,Male,Oil,New York,1,250,Submitted by Artist
Head,Harriet Sophia Phillips,Female,Oil,New York & Chicago,2,75,Submitted by Artist
Windy Night,Amos W. Engle,Male,Oil,New York,1,75,Submitted by Artist
The Sprint,Amos W. Engle,Male,Oil,New York,1,150,Submitted by Artist
El Punta Delacantara,Alden Twachtman,Male,Oil,New York,1,150,Submitted by Artist
Coronation Week-Madrid,Alden Twachtman,Male,Oil,New York & Chicago,2,100,Submitted by Artist
Roof Tops of Madrid,Frances Simpson Stevens,Male,Oil,New York,1,200,Submitted by Artist
Factory Village,J. Alden Weir,Male,Oil,New York,1,5000,Requested by Organizers
Moorish Girl,Claggett Wilson,Male,Oil,New York,1,100,Submitted by Artist
*September Haze,Carolyn C. Mase,Female,Pastel,New York,1,100,Submitted by Artist
