Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
Study,Marguerite Zorach,Female,Oil,New York,1,600,Submitted by Artist
*Portrait,William Zorach,Male,Oil,New York,1,800,Submitted by Artist
*An Arrangement,William Zorach,Male,Oil,New York,1,500,Submitted by Artist
The Tree of Knowledge,Bertrand Rasmussen,Male,Oil,New York,1,200,Submitted by Artist
"George, 1909",Bernard Karfiol,Male,Oil,New York,1,100,Submitted by Artist
Men at Rest,Bernard Karfiol,Male,Oil,New York,1,50,Submitted by Artist
"Portrait, 1911",Mary C. Rogers,Female,Oil,New York & Chicago,2,150,Submitted by Artist
Panels for a Dining Room,Arthur Crisp,Male,Oil,New York,1,150,Submitted by Artist
*Little Figures,David B. Milne,Male,Watercolor,New York,1,70,Submitted by Artist
*Distorted Tree,David B. Milne,Male,Oil,New York,1,200,Submitted by Artist
*Colombus Circle,David B. Milne,Male,Oil,New York,1,200,Submitted by Artist
*The Garden,David B. Milne,Male,Watercolor,New York,1,150,Submitted by Artist
*Reclining Figure,David B. Milne,Male,Watercolor,New York,1,60,Submitted by Artist
Flowers,Gus Mager,Male,Oil,New York,1,300,Requested by Organizers
Head Profile,J. Alden Weir,Male,Oil,New York,1,3500,Requested by Organizers
South River,Oscar Bluemner,Male,Watercolor,New York,1,150,Submitted by Artist
Canal in New Jersey,Oscar Bluemner,Male,Watercolor,New York,1,150,Submitted by Artist
"Hackensack River, 1912",Oscar Bluemner,Male,Oil,New York,1,500,Submitted by Artist
Morning on Long Island,Oscar Bluemner,Male,Oil,New York,1,500,Submitted by Artist
"HarlemRiver,1912",Oscar Bluemner,Male,Watercolor,New York,1,150,Submitted by Artist
*The Birthday Party,Edith Haworth,Female,Oil,New York,1,75,Submitted by Artist
*The Village Band,Edith Haworth,Female,Oil,New York,1,200,Submitted by Artist
"Swan on the Grass, 1910",Josephine Paddock,Female,Watercolor,New York,1,50,Submitted by Artist
"Swan Study-Peace, 1910",Josephine Paddock,Female,Watercolor,New York,1,50,Submitted by Artist
"Swan Study-Aspiration, 1910",Josephine Paddock,Female,Watercolor,New York,1,50,Submitted by Artist
The Orchid,J. Alden Weir,Male,Oil,New York,1,2500,Requested by Organizers
The Pig,Arthur Earnst Freud,Male,Oil,New York,1,150,Submitted by Artist
The Furnished Room,Bessie Marsh Brewer,Female,Drawing,New York,1,25,Submitted by Artist
Curiosity,Bessie Marsh Brewer,Female,Drawing,New York,1,25,Submitted by Artist
Putting Her Monday Name on Her Letterbox,Bessie Marsh Brewer,Female,Drawing,New York,1,25,Submitted by Artist
*Cliffs Newquay,Margaret Wendell Huntington,Female,Oil,New York,1,200,Submitted by Artist
"*In the Garden, 1912",Bernhard Gutmann,Male,Oil,New York,1,600,Submitted by Artist
Green Fire,Bolton Brown,Male,Oil,New York,1,600,Submitted by Artist
*House Boat,Samuel Wood Gaylor,Male,Oil,New York,1,100,Submitted by Artist
Landscape,Samuel Wood Gaylor,Male,Oil,New York,1,100,Submitted by Artist
"Decorative Panel, Spring (two panels)",William L. Taylor,Male,Oil,New York & Chicago,2,750,Requested by Organizers
Rain Pause,unknown,Male,Oil,New York,1,500,Submitted by Artist
"#Figure in Motion, 1912; now dated 1913",Robert Henri,Male,Oil,New York & Chicago,2,2000,Requested by Organizers
"The Gipsy; now titled The Spanish Gypsy, 1912",Robert Henri,Male,Oil,New York,1,1800,Requested by Organizers
The Red Top,Robert Henri,Male,Oil,New York,1,900,Requested by Organizers
Drawing,Robert Henri,Male,Drawing,New York,1,25,Requested by Organizers
*The Village Cemetery,Henry I. Glintenkamp,Male,Oil,New York,1,800,Submitted by Artist
The Emerald Pool,D. Putnam Brinley,Male,Oil,New York,1,1200,Requested by Organizers
The Peony Garden,D. Putnam Brinley,Male,Oil,New York,1,400,Requested by Organizers
A Walled Garden,D. Putnam Brinley,Male,Oil,New York,1,800,Requested by Organizers
Color Note 1-4,D. Putnam Brinley,Male,Oil,New York,1,40,Requested by Organizers
Their Life,Jerome Myers,Male,Oil,New York,1,1000,Requested by Organizers
The Glow,Jerome Myers,Male,Oil,New York,1,600,Requested by Organizers
15 Drawings,Jerome Myers,Male,Drawing,New York,1,150,Requested by Organizers
Terminal Yards,Leon Kroll,Male,Oil,New York & Chicago,2,600,Requested by Organizers
Portrait,Carl Gordon Cutler,Male,Oil,New York,1,1000,Requested by Organizers
"The Bathing Hour; now titled The Bathing Hour, Chester, Nova Scotia, 1910",William J. Glackens,Male,Oil,New York & Chicago,2,700,Requested by Organizers
Sailboats and Sunlight,William J. Glackens,Male,Oil,New York,1,700,Requested by Organizers
Apple Picking,Frank A. Nankivell,Male,Oil,New York,1,1500,Requested by Organizers
Edith,Frank A. Nankivell,Male,Oil,New York,1,1000,Requested by Organizers
Pink and Green,Frank A. Nankivell,Male,Oil,New York,1,1000,Requested by Organizers
Fowls,Frank A. Nankivell,Male,Watercolor,New York,1,30,Requested by Organizers
Football Player,Frank A. Nankivell,Male,Watercolor,New York,1,25,Requested by Organizers
New York in the Making,Frank A. Nankivell,Male,Etching,New York,1,50,Requested by Organizers
Morning 1912,Walt Kuhn,Male,Oil,New York & Chicago,2,600,Requested by Organizers
Girl with Red Cap,Walt Kuhn,Male,Oil,New York,1,350,Requested by Organizers
New York Yacht Club at Newport,Elmer Livingston MacRae,Male,Oil,New York,1,800,Requested by Organizers
Battle Ships or Battleships at Newport,Elmer Livingston MacRae,Male,Oil,New York,1,800,Requested by Organizers
Fairy Stories,Elmer Livingston MacRae,Male,Oil,New York,1,700,Requested by Organizers
Drawing,Elmer Livingston MacRae,Male,Pastel,New York,1,200,Requested by Organizers
Drawing,Elmer Livingston MacRae,Male,Pastel,New York,1,50,Requested by Organizers
Drawing,Elmer Livingston MacRae,Male,Pastel,New York,1,50,Requested by Organizers
Drawing,Elmer Livingston MacRae,Male,Pastel,New York,1,50,Requested by Organizers
Drawing,Elmer Livingston MacRae,Male,Pastel,New York,1,75,Requested by Organizers
"The Black Teapot, 1911",Jonas Lie,Male,Oil,New York,1,800,Requested by Organizers
At the Aquarium,Jonas Lie,Male,Oil,New York,1,1200,Requested by Organizers
Omen,Henry Fitch Taylor,Male,Oil,New York,1,2500,Requested by Organizers
Prostitution,Henry Fitch Taylor,Male,Oil,New York & Chicago,2,800,Requested by Organizers
Temple of Silence,Herbert Crowley,Male,Drawing,New York,1,250,Requested by Organizers
Dush of Morning,Henry Fitch Taylor,Male,Oil,New York,1,800,Requested by Organizers
Dawnlit,Edward Adam Kramer,Male,Oil,New York,1,700,Requested by Organizers
Trees of Echo Park,Edward Adam Kramer,Male,Oil,New York,1,700,Requested by Organizers
Meditation,Edward Adam Kramer,Male,Oil,New York,1,500,Requested by Organizers
Rock Encommpassed,Edward Adam Kramer,Male,Oil,New York & Chicago,2,500,Requested by Organizers
Hues of Morning,Edward Adam Kramer,Male,Pastel,New York & Chicago,2,150,Requested by Organizers
Drowsy afternoon,Edward Adam Kramer,Male,Pastel,New York & Chicago,2,150,Requested by Organizers
The Evangelist,Edward Adam Kramer,Male,Pastel,New York,1,150,Requested by Organizers
Going to sleep,Edward Adam Kramer,Male,Drawing,New York,1,75,Requested by Organizers
Quiet and Unseen,Edward Adam Kramer,Male,Drawing,New York,1,75,Requested by Organizers
Slander,Herbery Crowley,Male,Drawing,New York,1,250,Requested by Organizers
Woman Drinking Glass of Water,Karl Anderson,Male,Oil,New York & Chicago,2,600,Requested by Organizers
Boy playing with Goat,Karl Anderson,Male,Oil,New York,1,800,Requested by Organizers
"The Apple Gatherers, 1912",Karl Anderson,Male,Oil,New York,1,1500,Requested by Organizers
"Crepuscule, ca. 1912",Maurice Brazil Prendergast,Male,Oil,New York & Chicago,2,500,Requested by Organizers
Sea Shore,Maurice Brazil Prendergast,Male,Oil,New York & Chicago,2,650,Requested by Organizers
"#Landscape with Figures, 1912; not dated ca. 1910-12",Maurice Brazil Prendergast,Male,Oil,New York,1,800,Requested by Organizers
Under the Trees,Maurice Brazil Prendergast,Male,Watercolor,New York,1,200,Requested by Organizers
The Red Rock,Maurice Brazil Prendergast,Male,Watercolor,New York,1,200,Requested by Organizers
Marblehead Rocks,Maurice Brazil Prendergast,Male,Watercolor,New York & Chicago,2,150,Requested by Organizers
The Village,Florence Este,Female,Watercolor,New York,1,500,Requested by Organizers
"Mount Aberdeen; elsewhere titled Mount Aberdeen, Sunny Afternoon, 1912",Allen Tucker,Male,Oil,New York & Chicago,2,400,Requested by Organizers
"Study in Rose and Black, 1912",Allen Tucker,Male,Oil,New York,1,900,Requested by Organizers
Rain on Victoria,Allen Tucker,Male,Oil,New York,1,400,Requested by Organizers
"Storm in the Rockies, 1912",Allen Tucker,Male,Oil,New York,1,400,Requested by Organizers
Weeds and Willow Trees,Ernest Lawson,Male,Oil,New York & Chicago,2,800,Requested by Organizers
"#Sunday, Girls Drying their Hair, now titled Sunday, Women Drying Their Hair, 1912",John Sloan,Male,Oil,New York & Chicago,2,650,Requested by Organizers
"Prodigal Son, 1904–6",George Grey Barnard,Male,Stone,New York,1,18000,Requested by Organizers
"McSorley's Ale House; now titled McSorley's Bar, 1912",John Sloan,Male,Oil,New York,1,500,Requested by Organizers
"#Girl and Beggar, 1910",John Sloan,Male,Etching,New York,1,10,Requested by Organizers
"Portrait of Mother, 1906",John Sloan,Male,Etching,New York,1,15,Requested by Organizers
The First Snow,Florence Este,Female,Watercolor,New York,1,300,Requested by Organizers
"Marine, 1912",Amadeo de Sousa-Cardoza,Male,Watercolor,"New York, Chicago & Boston",3,13.5,Requested by Organizers
"Night Windows, 1910",John Sloan,Male,Etching,New York,1,10,Requested by Organizers
"Anschutz on Anatomy, 1912",John Sloan,Male,Etching,New York,1,15,Requested by Organizers
"The Picture Buyer, 1911",John Sloan,Male,Etching,New York,1,10,Requested by Organizers
Four O'Clock,George B. Lurks,Male,Oil,New York,1,2500,Requested by Organizers
A Philosopher,George B. Lurks,Male,Oil,New York & Chicago,2,750,Requested by Organizers
A Pennsylvania Dutchwoman,George B. Lurks,Male,Oil,New York,1,950,Requested by Organizers
"#Circus, 1912",George Bellows,Male,Oil,New York,1,1200,Requested by Organizers
"Polo Crowd, 1910",George Bellows,Male,Oil,New York,1,1200,Requested by Organizers
Docks in Winter,George Bellows,Male,Oil,New York & Chicago,2,800,Requested by Organizers
"Evening Harmony; elsewhere Evening Glow, 1912",George Bellows,Male,Oil,New York,1,150,Requested by Organizers
"Nocturne, Cape Cod",Albert Humphreys,Male,Oil,New York & Chicago,2,500,Requested by Organizers
Landscape,Albert Humphreys,Male,Oil,New York,1,500,Requested by Organizers
Statue at Ravello,Edith L. King,Female,Watercolor,New York,1,50,Requested by Organizers
"Bathing Hours, Capri",Edith L. King,Female,Watercolor,New York & Chicago,2,50,Requested by Organizers
"The Bathers, Capri",Edith L. King,Female,Watercolor,New York,1,50,Requested by Organizers
The Marina Grande,Edith L. King,Female,Watercolor,New York & Chicago,2,50,Requested by Organizers
Embroidery,Fannie Miller Brown,Female,Embroidery,New York,1,225,Requested by Organizers
Case of China,Jean Eels,Female,Decorated China,New York,1,50,Requested by Organizers
Lawn Party,A.F. Laundberg(n.d.),Male,Oil,New York,1,500,Requested by Organizers
Four Frames of Drawings,F.M. Walts,Male,Drawing,New York,1,125,Requested by Organizers
"*Blast Furnaces, 1912",Henry Reuterdahl,Male,Oil,New York,1,250,Submitted by Artist
Phyllis,Helen J. Niles,Female,Oil,New York,1,600,Submitted by Artist
"Monterey, Evening",Francic McComas,Male,Oil,New York,1,200,Requested by Organizers
"Cos Cob, Old House",Childe Hassam,Male,Oil,New York,1,850,Requested by Organizers
"Landscape, California",Francic McComas,Male,Oil,New York,1,200,Requested by Organizers
"Cos Cob, Old House",Childe Hassam,Male,Pastel,New York,1,850,Requested by Organizers
"Red Tulips, 1912",Charles R. Sheeler,Male,Oil,New York,1,150,Requested by Organizers
"Landscape, 1913",Charles R. Sheeler,Male,Oil,New York,1,150,Requested by Organizers
The Waterfall,Charles R. Sheeler,Male,Oil,New York & Chicago,2,150,Requested by Organizers
"#The Mandarin; now titled Mandarin, 1912",Charles R. Sheeler,Male,Oil,New York,1,200,Requested by Organizers
"Dahlias and Asters, 1912",Charles R. Sheeler,Male,Oil,New York,1,200,Requested by Organizers
"Chrysanthemums, 1912",Charles R. Sheeler,Male,Oil,New York & Chicago,2,250,Requested by Organizers
"Cos Cob, Old House",Childe Hassam,Male,Pastel,New York,1,650,Requested by Organizers
Sunny Window,Charles H. Pepper,Male,Watercolor,New York & Chicago,2,100,Requested by Organizers
The Caller,Charles H. Pepper,Male,Watercolor,New York,1,100,Requested by Organizers
The Hillside,Charles H. Pepper,Male,Watercolor,New York,1,250,Requested by Organizers
China Cupboard,Carl Gordon Cutler,Male,Oil,New York,1,1000,Requested by Organizers
"Sylph Rock, Appledore",Childe Hassam,Male,Pastel,New York,1,650,Requested by Organizers
Solitude,George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
Musician Dying,George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
A Hill Top,Jonas Lie,Male,Oil,New York,1,1200,Requested by Organizers
Turkey,Nelson N. Bickford,Male,Bronze,New York,1,50,Submitted by Artist
Nude,Elie Nadelman,Male,Plaster,New York,1,135,Requested by Organizers
"Drawings, Nos. 1-12",Elie Nadelman,Male,Drawing,New York,1,40.75,Requested by Organizers
Tete d'homme,Elie Nadelman,Male,Plaster,New York,1,135,Requested by Organizers
Lithographs,Édouard Vuillard,Male,Lithograph,"New York, Chicago & Boston",3,12,Requested by Organizers
Joaquina,Henri Matisse,Male,Oil,New York,1,810,Requested by Organizers
William Strret,Paul Burlin,Male,Drawing,New York,1,85,Requested by Organizers
Aquarelle,Henri Edmond Cross,Male,Watercolor,"New York, Chicago & Boston",3,189,Requested by Organizers
"Paysage, 1912",Ernst Ludwig Kirchner,Male,Watercolor,"New York, Chicago & Boston",3,81,Requested by Organizers
Cloud Shadows,Ernest Lawson,Male,Oil,New York,1,800,Requested by Organizers
"Paysage, No. 2",Roger de La Fresnaye,Male,Oil,New York & Chicago,2,162,Requested by Organizers
The Sisphus of the East.,Oscar E. Cesare,Male,Drawing,New York,1,100,Requested by Organizers
In Red,Robert W. Chanler,Male,Screen,New York,1,1500,Requested by Organizers
"""Waiter!""",Guy Pe'ne du Bois,Male,Oil,New York,1,200,Requested by Organizers
A Veil of Leaves,G. Ruger Donoho,Male,Oil,New York,1,2000,Requested by Organizers
Portrait (of Boyer),Paul Ce'zanne,Male,Oil,New York,1,4000,Requested by Organizers
Portrait of Chess Players,Marcel Duchammp,Male,Oil,New York,1,162,Requested by Organizers
"Window on the City, No.4",Robert Delaunay,Male,Oil,New York,1,540,Requested by Organizers
Le Pot bleu,Andre'Derain,Male,Oil,New York,1,202.5,Requested by Organizers
Naples,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
Palms near Naples,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
Palemo,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
"The Avenue, Holland",Katherine Sopie Dreier,Female,Oil,New York,1,300,Requested by Organizers
"Study in Repose, 1909",Jo Davidson,Male,Bronze,New York,1,5000,Requested by Organizers
The Sightless,Nathaniel Dolinsky,Male,Oil,New York,1,600,Requested by Organizers
"Quai de la Tour Melle, Paris",Ailee Dresser,Female,Oil,New York,1,100,Submitted by Artist
Madame Dubois,Ailee Dresser,Female,Oil,New York,1,100,Submitted by Artist
Notre Dame Spring,Ailee Dresser,Female,Oil,New York,1,300,Submitted by Artist
A Pine Tree,O.N Chaffee,Male,Oil,New York,1,800,Submitted by Artist
Electra Statuette,Mrs M.Mussleman Carr,Female,Bronze,New York,1,50,Requested by Organizers
Crime,Arthos Casarini,Male,Pastel,New York,1,90,Requested by Organizers
Indian Grinding Corn Statuette,Mrs M.Mussleman Carr,Female,Bronze,New York,1,40,Requested by Organizers
Jungle,Robert W. Chanler,Male,Screen,New York,1,3500,Requested by Organizers
L'Allegro,Charles H. Davis,Male,Oil,New York,1,1500,Requested by Organizers
Tristesse,Richard H. Duffy,Male,Plaster,New York,1,75,Requested by Organizers
Hopi Snake Dance,Robert W. Chanler,Male,Screen,New York,1,5000,Requested by Organizers
Leopard & Deer,Robert W. Chanler,Male,Screen,New York,1,1200,Requested by Organizers
Porcupine,Robert W. Chanler,Male,Screen,New York,1,2000,Requested by Organizers
Interior,Guy Pe'ne du Bois,Male,Oil,New York,1,300,Requested by Organizers
Twentieth-century Youth,Guy Pe'ne du Bois,Male,Oil,New York,1,200,Requested by Organizers
"Cascade, Bois de Boulogne",Guy Pe'ne du Bois,Male,Oil,New York,1,200,Requested by Organizers
Virginia,Guy Pe'ne du Bois,Male,Oil,New York,1,200,Requested by Organizers
The Politician,Guy Pe'ne du Bois,Male,Oil,New York,1,200,Requested by Organizers
"Evening North Sierra, 1910",Leon Dabo,Male,Oil,New York,1,1000,Requested by Organizers
Sweat Shop Girls in the Country,Edith Dimock,Female,Watercolor,New York,1,35,Requested by Organizers
A Garden,G. Ruger Donoho,Male,Oil,New York,1,2000,Requested by Organizers
Le Laboureur,Auguste Elise'e Chabaud,Male,Oil,New York,1,270,Requested by Organizers
Roses,Emilie Charmy,Female,Oil,New York,1,108,Requested by Organizers
"Paysage now, L'Kstaqye,1910",Emilie Charmy,Female,Oil,New York,1,135,Requested by Organizers
Soir,Emilie Charmy,Female,Oil,New York,1,135,Requested by Organizers
Ajaccio,Emilie Charmy,Female,Oil,New York,1,135,Requested by Organizers
#Colline des pauvres,Paul Ce'zanne,Male,Oil,New York,1,6700,Requested by Organizers
Melun now Jas de Bouffan,Paul Ce'zanne,Male,Oil,New York,1,8000,Requested by Organizers
Liseuse now The Reader,Charles Camoin,Male,Oil,New York,1,162,Requested by Organizers
Collioure,Charles Camoin,Male,Oil,New York,1,216,Requested by Organizers
The King &Queen surrounded by Swift Nudes,Marcel Duchamp,Male,Oil,New York,1,324,Requested by Organizers
Nude Descending a Staircase,Marcel Duchamp,Male,Oil,New York,1,324,Requested by Organizers
"Nu; now, Jeune Hommetiste das untrain",Marcel Duchamp,Male,Oil,New York,1,162,Requested by Organizers
"Route de Laon,1912",Robert Delaunay,Male,Oil,New York,1,270,Requested by Organizers
"La Ville de Paris, 1910-1912",Robert Delaunay,Male,Oil,New York,1,5400,Requested by Organizers
Vals et vallons,Georges Leon Dufrenoy,Male,Oil,New York,1,540,Requested by Organizers
Sienne,Georges Leon Dufrenoy,Male,Oil,New York,1,540,Requested by Organizers
Matermite,Maurice Denis,Male,Oil,New York,1,1080,Requested by Organizers
A la fene'tre,Maurice Denis,Male,Oil,New York,1,1620,Requested by Organizers
La Plage,Maurice Denis,Male,Oil,New York,1,8100,Requested by Organizers
La Fore't,Maurice Denis,Male,Oil,New York,1,864,Requested by Organizers
Matermite,Maurice Denis,Male,Oil,New York,1,1080,Requested by Organizers
Nausicaa,Maurice Denis,Male,Oil,New York,1,5400,Requested by Organizers
Leopold Str.,Raoul Dufy,Male,Oil,New York,1,540,Requested by Organizers
The English Channel,Raoul Dufy,Male,Oil,New York,1,540,Requested by Organizers
"La Fore't a"" Martigues",Andre'Derain,Male,Oil,New York,1,378,Requested by Organizers
Blue Bowl,Katherine Sopie Dreier,Female,Oil,New York,1,300,Requested by Organizers
Torre del greco,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
Vesuvius,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
Orsay,Henri-Lucien Doucet,Male,Watercolor,New York,1,26,Requested by Organizers
Still Life,Andrew Dasburg,Male,Oil,New York,1,250,Requested by Organizers
Still Life,Andrew Dasburg,Male,Oil,New York,1,250,Requested by Organizers
"The Barrier, 1912",Gustave Cimiotti Jr,Male,Oil,New York,1,750,Requested by Organizers
Facade Architecturale,Raymond Duchamp-Villon,Male,Plaster,New York,1,5400,Requested by Organizers
Hillside 1912,Gustave Cimiotti Jr,Male,Oil,New York,1,300,Requested by Organizers
Torse of a Young Man,Raymond Duchamp-Villon,Male,Terracotta,New York,1,135,Requested by Organizers
Torse of a Young Man,Raymond Duchamp-Villon,Male,Plaster,New York,1,54,Requested by Organizers
Fille des bois,Raymond Duchamp-Villon,Male,Bronze,New York,1,270,Requested by Organizers
Danseurs also titled Les Petitis Danseurs,Raymond Duchamp-Villon,Male,Terracotta,New York,1,67.5,Requested by Organizers
Lucifer,Andrew Dasburg,Male,Plaster,New York,1,200,Requested by Organizers
Age,Nessa Cohen,Female,Plaster,New York,1,125,Requested by Organizers
Sun Rise,Nessa Cohen,Female,Bronze,New York,1,600,Requested by Organizers
Yoshinosen,Jo Davidson,Male,Bronze,New York,1,650,Requested by Organizers
Torso,Jo Davidson,Male,Bronze,New York,1,300,Requested by Organizers
Girl in Blue,Randall Davey,Male,Oil,New York,1,600,Submitted by Artist
Mlle Lucienne,Lawrence Tyler Dresser,Male,Oil,New York,1,300,Submitted by Artist
A Boy,Florence Drey fous,Female,Watercolor,New York,1,200,Submitted by Artist
Servant Girls 1913,Stuart Davis,Male,Watercolor,New York,1,100,Requested by Organizers
"Dance, 1912",Stuart Davis,Male,Watercolor,New York,1,100,Submitted by Artist
"The Doctor now, Interior",Stuart Davis,Male,Watercolor,New York,1,100,Submitted by Artist
"Babe La Tour,1912",Stuart Davis,Male,Watercolor,New York,1,100,Submitted by Artist
The Musicians,Stuart Davis,Male,Watercolor,New York,1,100,Requested by Organizers
Pine Tree,O.N. Chaffee,Male,Oil,New York,1,800,Submitted by Artist
Iona Island,Leon Dabo,Male,Oil,New York,1,1000,Requested by Organizers
Before the storm,Leon Dabo,Male,Oil,New York,1,1000,Requested by Organizers
Canadian Night,Leon Dabo,Male,Oil,New York,1,1000,Requested by Organizers
Portrait.,Harry W. Coate,Male,Oil,New York,1,350,Requested by Organizers
Hill Wind,Arthur Bowen Davis,Male,Oil,New York,1,2800,Requested by Organizers
Sea drift,Arthur Bowen Davis,Male,Oil,New York,1,1000,Requested by Organizers
"Drawing now Reclining Women, 1911, now 1913",Arthur Bowen Davis,Male,Pastel,New York,1,65,Requested by Organizers
Lithograph (large),Paul Ce'zanne,Male,Lithograph,New York & Chicago,2,54,Requested by Organizers
Lithograph (small),Paul Ce'zanne,Male,Lithograph,New York & Chicago,2,42,Requested by Organizers
"La Doleur,1912",Jo Davidson,Male,Stone,New York,1,4000,Requested by Organizers
Portrait,Harry W. Coate,Male,Oil,New York,1,350,Requested by Organizers
L'E tatc'est moi,Oscar E. Cesare,Male,Drawing,New York,1,100,Requested by Organizers
Our Friend the Horse,Oscar E. Cesare,Male,Drawing,New York,1,100,Requested by Organizers
Mors Pasha,Oscar E. Cesare,Male,Drawing,New York,1,100,Requested by Organizers
Swan,Robert W. Chanler,Male,Screen,New York,1,2000,Requested by Organizers
Mother and Daughter,Edith Dimock,Female,Watercolor,New York,1,35,Requested by Organizers
Group of Six paintings,Edith Dimock,Female,Watercolor,New York,1,280,Requested by Organizers
The Old Woman and the Rosary,Paul Ce'zanne,Male,Oil,New York,1,48600,Requested by Organizers
Portrait of Ce'zanne,Paul Ce'zanne,Male,Oil,New York,1,6500,Requested by Organizers
Baigneusis,Paul Ce'zanne,Male,Oil,New York,1,6500,Requested by Organizers
Auvers,Paul Ce'zanne,Male,Oil,New York,1,9500,Requested by Organizers
Seville,Charles Camoin,Male,Oil,New York,1,216,Requested by Organizers
Moulin Rouge,Charles Camoin,Male,Oil,New York,1,240.75,Requested by Organizers
Ange'lique,Maurice Denis,Male,Oil,New York,1,1620,Requested by Organizers
La Fene'tre sur le Parc,Andre'Derain,Male,Oil,New York,1,486,Requested by Organizers
Landscape.,Andrew Dasburg,Male,Oil,New York,1,250,Requested by Organizers
"Me're et enfant, 1903",Mary Cassatt,Female,Oil,New York,1,4950,Requested by Organizers
Torse of a Young Man,Raymond Duchamp-Villon,Male,Bronze,New York,1,216,Requested by Organizers
Baudelaire,Raymond Duchamp-Villon,Male,Terracotta,New York,1,162,Requested by Organizers
Decorative Panel,Jo Davidson,Male,Sculpture,New York,1,5000,Requested by Organizers
Yoshinosen,Jo Davidson,Male,Bronze,New York,1,600,Requested by Organizers
Yoshinosen,Jo Davidson,Male,Stone,New York,1,1000,Requested by Organizers
A Russian Student,Lawrence Tyler Dresser,Male,Oil,New York,1,300,Submitted by Artist
A Village,O.N Chaffee,Male,Oil,New York,1,800,Submitted by Artist